geneID	RNAi-GLAD_1	RNAi-GLAD_2	RNAi-GLAD_3	RNAI-GFP_1	RNAI-GFP_2	RNAi-GFP_3
FBgn0001228	0	0	0	0	0	0
FBgn0034350	0	0	0	0	0	0
FBgn0085791	0	0	0	0	0	0
FBgn0259221	42.89299433	42.56579954	50.30150849	52.2135446	50.69993024	39.54293464
FBgn0016075	46.95539619	50.46727763	55.83254479	48.42848371	48.66818328	55.70943102
FBgn0033108	29.63547966	28.4183109	32.62078359	31.23117931	31.05999179	28.94743719
FBgn0053852	0	0	0	0	0	0
FBgn0034797	18.84690265	19.54493549	23.24074054	21.91646033	21.40027419	20.71118831
FBgn0085291	0	0	0	0	0	0
FBgn0262851	0	0	0	0	0	0
FBgn0033162	66.78571008	71.42037318	71.31193276	61.31572941	68.58350352	80.24046508
FBgn0031869	3.542673236	3.788366795	4.801467502	3.84027935	3.292773223	4.010151557
FBgn0036218	0.56370428	0.046727894	0.1909105	0.211727413	0.352586089	0.463655366
FBgn0039132	58.93409949	56.91360791	59.24745155	56.88404259	58.87518993	62.12416167
FBgn0034346	6.36611291	6.398417265	6.105521496	5.787121453	6.39678206	5.45046506
FBgn0030589	14.10457947	16.83982319	14.99439369	13.1453681	14.75157403	15.96667794
FBgn0003044	7.801322607	7.179414405	8.707269528	7.832666096	7.593880635	7.771951035
FBgn0038084	5.966578773	6.061220655	6.314716891	6.701172613	6.654448299	5.718133579
FBgn0051088	3.186167079	2.174119148	1.39817688	3.721522358	2.506296785	1.536509737
FBgn0032204	10.47176587	10.26616645	9.785024214	10.01721679	9.1077167	9.542623081
FBgn0003138	26.83050598	27.21592463	26.70221587	24.01519537	24.22834266	26.51843518
FBgn0034837	0.979519084	0	0	0.218992569	0.091171158	0
FBgn0029740	0.132157337	0	0	0	0.258318281	0.104520601
FBgn0036640	0.999007003	0.859971034	0.634378256	0.490681699	0.841157014	0.899492434
FBgn0086613	3.956545419	3.752402423	4.325828565	3.492592828	3.131776269	4.667868472
FBgn0050020	11.01606793	11.29551182	11.46620958	10.98272719	10.96275044	10.5912338
FBgn0038507	1.47775931	1.008366709	0.152583771	0	0.07045044	1.453786536
FBgn0032414	6.033998127	5.237486787	5.569144979	6.749232971	6.497363198	5.028172269
FBgn0023215	34.90689907	36.72662726	31.48620103	35.42943064	34.5396028	29.42473995
FBgn0039748	7.76509947	7.540284116	7.513762494	5.99980636	6.418071604	8.457395416
FBgn0031020	20.87480828	18.66370307	21.12610433	18.99479105	17.91911711	20.62362207
FBgn0062978	95.05228574	98.22210369	79.26246836	91.93663351	82.87022787	96.4591224
FBgn0040859	4.991169107	0.217757719	0.945270504	0.542671647	2.15656145	3.282588089
FBgn0013272	136.3874883	138.3640085	136.601051	140.800131	140.3563282	126.9050857
FBgn0033724	4.770916666	4.696348572	4.54436123	3.397251854	4.079845826	7.420671499
FBgn0004190	0	0	0	0	0	0
FBgn0053752	0	0	0	0	0	0
FBgn0052153	0	0	0	0	0	0
